movie_id,average_rating,num_votes
tt0014446,6.7,387
tt0014447,6.5,96
tt0014451,5.0,16
tt0014497,7.0,1210
tt0014499,6.6,129
tt0014516,6.8,563
tt0014532,6.8,2963
tt0014538,7.0,5751
tt0014569,7.3,16
tt0014576,6.3,20
tt0014577,6.2,61
tt0014586,6.6,2593
tt0014600,6.8,164
tt0014605,6.9,615
tt0014611,7.3,2258
tt0014624,6.9,6941
tt0014636,6.6,967
tt0014644,5.8,40
tt0014646,6.3,3113
tt0014702,6.6,560
tt0014760,7.0,273
tt0014762,6.7,33
tt0014764,6.6,15
tt0014797,6.2,77
tt0014826,5.7,240
tt0014857,5.7,112
tt0014869,6.9,788
tt0014891,5.5,56
tt0014898,6.7,778
tt0014900,6.2,1065
tt0014931,6.8,142
tt0014945,7.6,3942
tt0014972,7.7,4872
tt0015002,7.1,1726
tt0015013,6.0,18
tt0015014,7.2,1190
tt0015016,7.2,2761
tt0015036,6.6,202
tt0015039,6.9,1319
tt0015044,6.4,18
tt0015051,6.1,102
tt0015064,8.0,16500
tt0015116,6.7,1215
tt0015119,7.0,1650
tt0015136,7.1,2233
tt0015145,6.0,532
tt0015156,5.5,15
tt0015157,5.5,12
tt0015163,7.5,12036
tt0015167,6.4,1207
tt0015171,5.7,42
tt0015174,7.9,5564
tt0015175,8.1,7268
tt0015189,6.6,15
tt0015202,7.0,3858
tt0015213,6.6,225
tt0015214,7.1,2135
tt0015224,7.1,1487
tt0015263,6.0,75
tt0015268,7.2,560
tt0015284,6.4,109
tt0015289,6.0,278
tt0015310,7.1,721
tt0015318,6.5,14
tt0015324,8.1,65629
tt0015361,7.6,9454
tt0015375,5.0,19
tt0015393,8.0,13
tt0015400,7.7,7674
tt0015409,6.4,349
tt0015414,5.4,19
tt0015442,7.0,16
tt0015467,8.2,21
tt0015471,7.6,21
tt0015501,4.3,22
tt0015508,7.0,92
tt0015532,7.8,7692
tt0015569,5.0,68
tt0015624,7.9,7818
tt0015626,7.0,18
tt0015634,6.2,1338
tt0015643,7.7,223
tt0015648,7.9,65083
tt0015662,6.2,94
tt0015687,6.5,521
tt0015702,6.7,91
tt0015745,7.0,42
tt0015768,7.0,2637
tt0015771,6.2,50
tt0015772,6.6,2500
tt0015794,6.4,255
tt0015801,7.1,479
tt0015803,7.1,17
tt0015841,7.5,6589
tt0015842,7.1,1876
tt0015847,5.8,172
tt0015861,6.6,685
tt0015863,7.1,5578
tt0015864,8.1,128059
tt0015873,7.7,1315
tt0015881,8.0,11577
tt0015907,5.5,12
tt0015917,6.4,76
tt0015930,5.2,52
tt0015935,6.6,186
tt0015958,6.6,20
tt0015997,6.7,26
tt0015998,6.6,34
tt0016004,7.2,1561
tt0016005,6.7,851
tt0016029,7.0,2071
tt0016031,6.6,36
tt0016039,7.0,6576
tt0016051,6.7,57
tt0016083,4.6,22
tt0016084,6.8,65
tt0016104,7.2,2738
tt0016112,7.4,110
tt0016123,6.2,1562
tt0016142,6.6,702
tt0016159,6.2,14
tt0016174,2.4,193
tt0016205,7.0,211
tt0016212,6.2,73
tt0016220,7.5,22178
tt0016226,5.9,421
tt0016230,5.7,3240
tt0016232,7.2,361
tt0016234,5.6,26
tt0016235,5.9,103
tt0016240,6.4,205
tt0016241,5.2,300
tt0016246,6.9,52
tt0016276,6.5,422
tt0016308,6.6,636
tt0016332,7.8,13143
tt0016368,6.2,39
tt0016370,6.2,13
tt0016377,6.0,142
tt0016392,6.3,566
tt0016394,6.8,1200
tt0016395,7.2,474
tt0016439,6.4,276
tt0016461,6.5,792
tt0016473,7.1,2505
tt0016491,7.6,994
tt0016493,6.6,286
tt0016526,7.0,84
tt0016534,6.5,106
tt0016544,4.9,1938
tt0016545,5.4,414
tt0016564,7.2,49
tt0016618,4.3,20
tt0016624,5.7,10
tt0016627,7.1,1396
tt0016629,6.5,1057
tt0016630,7.0,4412
tt0016634,7.1,644
tt0016638,6.3,68
tt0016639,6.6,152
tt0016640,6.4,593
tt0016641,7.8,8391
tt0016643,6.2,316
tt0016646,6.7,699
tt0016654,7.0,2373
tt0016655,6.7,982
tt0016669,7.2,1775
tt0016672,5.4,746
tt0016691,6.8,153
tt0016696,6.8,43
tt0016706,7.1,59
tt0016782,5.5,81
tt0016804,7.0,1032
tt0016832,7.1,567
tt0016847,8.1,18264
tt0016874,7.6,77
tt0016880,6.2,18
tt0016884,7.6,4920
tt0016885,6.8,87
tt0016895,7.5,2153
tt0016906,5.6,26
tt0016939,6.3,446
tt0016953,6.6,1098
tt0016981,5.5,31
tt0016998,7.0,16
tt0017004,6.3,378
tt0017009,6.0,18
tt0017010,6.8,384
tt0017017,5.6,20
tt0017020,7.8,12
tt0017022,6.7,16
tt0017023,7.2,16
tt0017027,6.9,20
tt0017028,6.9,256
tt0017043,5.2,14
tt0017047,7.3,37
tt0017048,7.3,5381
tt0017049,6.5,33
tt0017053,6.4,52
tt0017071,2.2,41
tt0017075,7.3,15011
tt0017097,5.4,64
tt0017100,6.6,51
tt0017103,6.8,947
tt0017119,6.8,501
tt0017122,5.6,21
tt0017128,7.4,3308
tt0017136,8.2,201027
tt0017137,7.2,143
tt0017159,7.0,368
tt0017162,6.8,882
tt0017180,5.7,17
tt0017196,6.6,1042
tt0017198,6.1,269
tt0017202,5.7,109
tt0017226,6.9,360
tt0017229,5.2,16
tt0017253,2.5,18
tt0017271,7.6,1354
tt0017292,6.6,140
tt0017293,7.1,208
tt0017321,4.6,36
tt0017338,6.0,147
tt0017350,7.6,2144
tt0017354,6.2,234
tt0017356,4.9,23
tt0017376,7.1,670
tt0017378,6.7,445
tt0017384,5.6,72
tt0017401,6.9,257
tt0017409,7.1,901
tt0017416,6.5,2260
tt0017418,6.9,192
tt0017421,5.7,37
tt0017423,7.3,1654
tt0017432,5.7,113
tt0017437,6.6,1074
tt0017438,6.9,884
tt0017449,6.9,1460
tt0017463,7.5,1703
tt0017472,5.3,20
tt0017480,6.9,969
tt0017492,6.6,112
tt0017505,5.2,28
tt0017508,6.9,119
tt0017513,6.8,36
tt0017519,6.7,195
tt0017527,4.3,21
tt0017534,6.6,2035
tt0017567,6.9,1065
tt0017578,7.1,91
tt0017584,6.8,195
tt0017621,6.2,527
tt0017632,6.7,587
tt0017667,7.0,984
tt0017668,7.6,5150
tt0017683,6.1,20
tt0017687,6.6,73
tt0017726,6.3,193
tt0017735,6.9,375
tt0017736,7.1,289
tt0017739,7.1,3807
tt0017743,6.8,1253
tt0017750,7.3,647
tt0017751,6.5,539
tt0017765,6.9,5841
tt0017766,4.9,39
tt0017789,6.2,8
tt0017805,4.0,36
tt0017809,7.1,878
tt0017822,6.4,113
tt0017825,6.0,3498
tt0017839,7.0,96
tt0017843,5.4,3354
tt0017844,6.3,35
tt0017866,5.3,63
tt0017883,5.3,24
tt0017886,6.3,357
tt0017925,8.1,106174
tt0017926,6.8,58
tt0017928,6.4,346
tt0017946,5.4,47
tt0017952,7.2,24
tt0017954,6.1,178
tt0017970,6.0,22
tt0017976,4.8,21
tt0017979,5.7,99
tt0018016,6.3,368
tt0018032,6.0,19
tt0018033,7.2,3983
tt0018037,6.4,11905
tt0018045,7.1,364
tt0018049,7.1,18
tt0018051,7.6,5254
tt0018054,7.3,2688
tt0018066,7.3,1981
tt0018082,7.2,23
tt0018087,7.2,954
tt0018088,6.4,10
tt0018097,6.7,1583
tt0018107,6.8,1290
tt0018113,6.3,857
tt0018128,6.3,14
tt0018142,6.3,53
tt0018159,5.6,46
tt0018166,6.8,610
tt0018171,4.8,9
tt0018172,7.5,72
tt0018183,7.4,1005
tt0018192,8.2,9770
tt0018199,6.1,150
tt0018200,3.6,14
tt0018208,6.6,107
tt0018211,6.5,63
tt0018217,7.4,9031
tt0018218,6.4,438
tt0018229,6.6,12
tt0018243,6.1,38
tt0018246,6.4,378
tt0018253,6.0,649
tt0018258,5.6,28
tt0018269,6.7,43
tt0018297,6.6,816
tt0018311,6.8,1565
tt0018318,5.0,25
tt0018325,4.6,16
tt0018328,6.1,4326
tt0018338,6.8,10
tt0018351,6.9,300
tt0018362,6.3,515
tt0018372,6.2,32
tt0018375,5.8,123
tt0018379,7.5,4652
tt0018381,6.6,39
tt0018397,6.9,783
tt0018410,6.8,163
tt0018440,6.4,1128
tt0018451,7.5,1820
tt0018453,6.6,207
tt0018455,8.1,56696
tt0018469,5.5,12
tt0018471,7.1,1712
tt0018478,6.7,74
tt0018480,5.2,36
tt0018491,6.7,10
tt0018515,6.6,1266
tt0018524,6.8,543
tt0018525,2.6,197
tt0018526,7.5,3877
tt0018528,7.7,10268
tt0018537,6.5,38
tt0018548,6.5,25
tt0018553,7.3,9
tt0018575,5.8,16
tt0018578,7.5,16267
tt0018584,6.9,127
tt0018588,6.7,335
tt0018600,6.1,186
tt0018606,6.6,62
tt0018618,6.2,1245
tt0018619,5.7,33
tt0018622,6.4,30
tt0018638,6.6,46
tt0018642,5.7,31
tt0018647,5.3,41
tt0018662,5.1,18
tt0018666,5.2,100
tt0018674,6.8,129
tt0018684,7.5,1528
tt0018686,6.3,89
tt0018697,6.8,97
tt0018714,5.2,44
tt0018727,5.3,21
tt0018729,7.3,34
tt0018736,3.8,17
tt0018737,7.7,12919
tt0018742,8.0,14535
tt0018748,5.4,52
tt0018753,6.5,20
tt0018756,5.4,2988
tt0018770,7.2,5044
tt0018773,8.1,38508
tt0018792,5.8,61
tt0018795,6.8,786
tt0018800,5.6,15
tt0018806,8.0,10012
tt0018822,5.3,69
tt0018826,6.8,253
tt0018836,7.0,504
tt0018839,7.5,5500
tt0018841,7.2,792
tt0018849,5.4,28
tt0018856,6.8,32
tt0018867,5.5,47
tt0018870,5.5,30
tt0018876,5.8,3433
tt0018880,4.9,23
tt0018888,6.5,33
tt0018892,5.7,44
tt0018902,3.6,16
tt0018908,6.9,388
tt0018909,7.2,1040
tt0018930,6.3,25
tt0018937,6.6,949
tt0018940,4.6,7
tt0018945,5.5,209
tt0018961,5.1,16
tt0018967,5.1,18
tt0018968,4.8,14
tt0018973,7.0,26
tt0018987,5.4,33
tt0018996,6.1,271
tt0018999,4.1,15
tt0019023,5.0,25
tt0019041,6.4,17
tt0019043,7.1,502
tt0019049,8.0,12
tt0019050,7.1,62
tt0019058,6.4,10
tt0019067,6.9,615
tt0019071,7.9,5051
tt0019074,7.5,2296
tt0019086,6.2,10
tt0019098,6.5,768
tt0019103,7.2,28
tt0019109,7.7,2949
tt0019130,7.6,9203
tt0019132,4.6,33
tt0019137,5.2,17
tt0019141,6.7,14
tt0019144,5.8,34
tt0019175,6.7,61
tt0019182,5.5,210
tt0019186,6.6,318
tt0019195,7.2,1547
tt0019217,6.5,95
tt0019221,5.5,43
tt0019233,5.2,27
tt0019237,6.7,2200
tt0019252,2.3,49
tt0019254,8.1,68127
tt0019258,7.4,2910
tt0019260,7.5,15
tt0019286,6.9,2498
tt0019304,6.5,1863
tt0019305,6.6,204
tt0019312,6.3,195
tt0019316,5.8,17
tt0019335,4.2,238
tt0019344,7.2,2998
tt0019348,5.0,66
tt0019354,7.7,58
tt0019369,6.5,45
tt0019374,7.0,372
tt0019379,7.6,4247
tt0019388,6.0,313
tt0019396,5.2,43
tt0019401,5.8,259
tt0019403,7.5,1004
tt0019412,7.6,4789
tt0019415,7.5,4340
tt0019421,7.8,17508
tt0019429,7.3,2799
tt0019448,4.0,15
tt0019451,6.7,597
tt0019456,6.9,78
tt0019462,6.3,393
tt0019474,3.6,55
tt0019476,5.7,26
tt0019480,6.3,309
tt0019486,6.1,119
tt0019489,7.0,528
tt0019514,7.2,121
tt0019516,5.3,36
tt0019526,5.7,14
tt0019538,6.2,45
tt0019540,2.2,27
tt0019543,5.6,57
